epoch,negative_sampling_loss,dirichlet_prior_loss
1,46.840,-2086.210
2,41.353,-2086.256
3,36.407,-2086.296
4,30.508,-2086.338
5,24.748,-2086.381
6,20.312,-2086.427
7,17.527,-2086.476
8,16.026,-2086.526
9,15.263,-2086.578
10,14.885,-2086.632
11,14.685,-2086.689
12,14.566,-2086.752
13,14.488,-2086.816
14,14.423,-2086.883
15,14.372,-2086.952
16,14.323,-2087.023
17,14.278,-2087.096
18,14.239,-2087.173
19,14.202,-2087.253
20,14.169,-2087.333
21,14.137,-2087.420
22,14.108,-2087.509
23,14.081,-2087.602
24,14.056,-2087.699
25,14.035,-2087.799
26,14.012,-2087.900
27,13.993,-2088.008
28,13.970,-2088.120
29,13.954,-2088.233
30,13.936,-2088.353
31,13.922,-2088.479
32,13.907,-2088.610
33,13.892,-2088.744
34,13.875,-2088.884
35,13.870,-2089.030
36,13.854,-2089.184
37,13.846,-2089.344
38,13.836,-2089.508
39,13.823,-2089.678
40,13.811,-2089.857
41,13.803,-2090.042
42,13.798,-2090.237
43,13.790,-2090.439
44,13.781,-2090.651
45,13.771,-2090.873
46,13.765,-2091.102
47,13.760,-2091.341
48,13.747,-2091.590
49,13.742,-2091.854
50,13.740,-2092.129
51,13.736,-2092.419
52,13.728,-2092.721
53,13.726,-2093.035
54,13.718,-2093.362
55,13.710,-2093.710
56,13.708,-2094.076
57,13.701,-2094.455
58,13.698,-2094.852
59,13.692,-2095.268
60,13.692,-2095.707
61,13.686,-2096.164
62,13.681,-2096.639
63,13.682,-2097.137
64,13.673,-2097.660
65,13.669,-2098.205
66,13.664,-2098.772
67,13.662,-2099.366
68,13.657,-2099.987
69,13.653,-2100.635
70,13.650,-2101.308
71,13.646,-2102.004
72,13.641,-2102.733
73,13.639,-2103.496
74,13.639,-2104.290
75,13.631,-2105.119
76,13.627,-2105.982
77,13.628,-2106.878
78,13.616,-2107.812
79,13.618,-2108.775
80,13.618,-2109.777
81,13.607,-2110.818
82,13.604,-2111.901
83,13.602,-2113.021
84,13.600,-2114.182
85,13.598,-2115.394
86,13.594,-2116.650
87,13.585,-2117.960
88,13.585,-2119.316
89,13.586,-2120.719
90,13.574,-2122.166
91,13.569,-2123.667
92,13.569,-2125.219
93,13.562,-2126.826
94,13.559,-2128.494
95,13.557,-2130.217
96,13.557,-2131.999
97,13.547,-2133.853
98,13.549,-2135.765
99,13.542,-2137.745
100,13.539,-2139.793
101,13.529,-2141.916
102,13.528,-2144.118
103,13.520,-2146.393
104,13.521,-2148.745
105,13.519,-2151.175
106,13.512,-2153.698
107,13.510,-2156.285
108,13.505,-2158.967
109,13.495,-2161.738
110,13.500,-2164.596
111,13.489,-2167.553
112,13.488,-2170.601
113,13.482,-2173.756
114,13.480,-2177.012
115,13.477,-2180.381
116,13.472,-2183.856
117,13.464,-2187.440
118,13.460,-2191.143
119,13.455,-2194.965
120,13.452,-2198.898
